update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
68,17825792,1011.5,79880,87.36,149.0,90.36,16.0,78.0,6.0,0.0,-0.0003,0.002,0.1395,0.0072,0.85,0.000122,1.0,76.6
69,18087936,1014.9,77035,90.85,147.0,93.85,16.1,78.0,5.9,0.0,-0.0002,0.002,0.1403,0.0075,0.849,0.000119,1.01,76.6
70,18350080,1018.2,78164,88.82,152.0,91.82,16.1,77.9,6.0,0.0,-0.0003,0.002,0.1455,0.0074,0.853,0.000116,1.01,76.7
71,18612224,1147.5,79280,87.8,147.0,90.8,16.2,77.9,5.9,0.0,-0.0003,0.002,0.1444,0.0072,0.857,0.000114,1.01,76.9
72,18874368,1150.8,79837,91.16,149.0,94.16,16.2,77.9,5.9,0.0,-0.0003,0.002,0.1498,0.0056,0.854,0.000111,1.02,76.9
73,19136512,1154.1,78082,85.66,148.0,88.66,16.2,77.9,5.9,0.0,-0.0003,0.002,0.1497,0.0075,0.856,0.000109,1.02,77.0
74,19398656,1157.4,79397,82.03,147.0,85.03,16.2,77.9,5.9,0.0,-0.0003,0.002,0.1525,0.0064,0.859,0.000106,1.03,77.0
75,19660800,1160.7,78710,92.56,153.0,95.56,16.4,77.8,5.9,0.0,-0.0003,0.002,0.1529,0.0054,0.862,0.000103,1.03,77.1
76,19922944,1164.2,76590,86.3,146.0,89.3,16.4,77.7,5.8,0.0,-0.0002,0.002,0.1549,0.0077,0.862,0.000101,1.03,77.2
77,20185088,1167.5,78978,86.45,151.0,89.45,16.6,77.7,5.8,0.0,-0.0003,0.002,0.1548,0.0063,0.858,9.8e-05,1.04,77.3
78,20447232,1170.7,81126,90.36,152.0,93.36,16.7,77.6,5.7,0.0,-0.0001,0.002,0.1544,0.0059,0.857,9.6e-05,1.04,77.2
79,20709376,1173.9,81903,86.84,147.0,89.84,16.8,77.5,5.7,0.0,-0.0002,0.002,0.1571,0.0081,0.86,9.3e-05,1.05,77.3
80,20971520,1177.0,83922,90.62,153.0,93.62,16.8,77.5,5.7,0.0,-0.0004,0.002,0.1531,0.0081,0.859,9e-05,1.05,77.2
81,21233664,1298.7,82460,89.08,163.0,92.08,16.9,77.4,5.7,0.0,-0.0003,0.002,0.1542,0.007,0.858,8.8e-05,1.06,77.3
82,21495808,1301.8,84574,86.42,155.0,89.42,16.8,77.5,5.7,0.0,-0.0003,0.002,0.1563,0.0079,0.862,8.5e-05,1.06,77.3
83,21757952,1304.9,81959,85.61,147.0,88.61,16.8,77.4,5.7,0.0,-0.0004,0.002,0.1558,0.0056,0.858,8.2e-05,1.06,77.3
84,22020096,1308.2,81708,90.4,157.0,93.4,16.8,77.5,5.7,0.0,-0.0003,0.002,0.1592,0.0042,0.865,8e-05,1.06,77.3
85,22282240,1311.4,80284,87.61,152.0,90.61,16.9,77.4,5.6,0.0,-0.0003,0.002,0.1574,0.0049,0.861,7.7e-05,1.06,77.2
86,22544384,1314.7,79736,88.06,147.0,91.06,17.1,77.3,5.6,0.0,-0.0002,0.002,0.155,0.0056,0.862,7.5e-05,1.07,77.2
87,22806528,1317.9,81032,90.75,155.0,93.75,17.1,77.3,5.6,0.0,-0.0002,0.002,0.1614,0.004,0.864,7.2e-05,1.07,77.3
88,23068672,1321.0,84940,89.23,153.0,92.23,17.2,77.2,5.6,0.0,-0.0003,0.002,0.1615,0.0053,0.869,6.9e-05,1.08,77.3
89,23330816,1324.3,80506,88.56,148.0,91.56,17.3,77.2,5.6,0.0,-0.0003,0.002,0.1578,0.0051,0.87,6.7e-05,1.08,77.3
90,23592960,1327.5,82573,87.72,150.0,90.72,17.3,77.1,5.6,0.0,-0.0003,0.002,0.163,0.0043,0.872,6.4e-05,1.08,77.3
91,23855104,1454.7,83570,90.29,147.0,93.29,17.4,77.1,5.5,0.0,-0.0003,0.002,0.1596,0.004,0.875,6.1e-05,1.09,77.3
92,24117248,1458.0,79182,86.26,148.0,89.26,17.5,77.0,5.5,0.0,-0.0002,0.002,0.1613,0.0034,0.874,5.9e-05,1.09,77.3
93,24379392,1461.3,80462,88.94,157.0,91.94,17.6,76.9,5.5,0.0,-0.0003,0.002,0.1609,0.0045,0.875,5.6e-05,1.09,77.3
94,24641536,1464.5,81627,89.71,147.0,92.71,17.6,77.0,5.5,0.0,-0.0003,0.002,0.1631,0.0054,0.874,5.4e-05,1.09,77.4
95,24903680,1467.6,83394,91.32,152.0,94.32,17.6,76.9,5.5,0.0,-0.0002,0.002,0.1602,0.0025,0.872,5.1e-05,1.1,77.5
96,25165824,1470.9,81309,88.05,148.0,91.05,17.6,76.9,5.5,0.0,-0.0003,0.002,0.161,0.0056,0.866,4.8e-05,1.1,77.5
97,25427968,1474.0,83365,89.44,153.0,92.44,17.6,76.9,5.4,0.0,-0.0003,0.002,0.1627,0.0036,0.864,4.6e-05,1.1,77.4
98,25690112,1477.1,84471,85.87,148.0,88.87,17.6,77.0,5.4,0.0,-0.0002,0.002,0.1609,0.0021,0.862,4.3e-05,1.11,77.5
99,25952256,1480.4,80325,88.14,154.0,91.14,17.6,77.1,5.4,0.0,-0.0003,0.002,0.1593,0.0039,0.87,4e-05,1.11,77.5
100,26214400,1483.6,80730,89.56,151.0,92.56,17.5,77.1,5.4,0.0,-0.0002,0.002,0.158,0.0029,0.871,3.8e-05,1.11,77.5
