update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr
136,35651584,1710.6,21793,58.48,82.0,61.48,36.8,61.0,2.2,0.0,-0.0004,0.002,0.2126,0.0074,0.86,0.00011
137,35913728,1722.6,21863,57.89,87.0,60.89,36.7,61.1,2.2,0.0,-0.0004,0.002,0.2097,0.0086,0.857,0.000109
138,36175872,1734.6,21815,57.76,82.0,60.76,36.7,61.1,2.2,0.0,-0.0003,0.002,0.2088,0.0071,0.857,0.000108
139,36438016,1746.5,22102,57.14,83.0,60.14,36.7,61.1,2.3,0.0,-0.0003,0.002,0.2094,0.0052,0.859,0.000106
140,36700160,1758.5,21763,55.84,81.0,58.84,36.6,61.1,2.3,0.0,-0.0003,0.002,0.2093,0.0054,0.854,0.000105
141,36962304,1770.2,22457,58.55,82.0,61.55,36.6,61.1,2.3,0.0,-0.0004,0.002,0.2072,0.0052,0.856,0.000104
142,37224448,1782.0,22170,56.07,85.0,59.07,36.5,61.1,2.3,0.0,-0.0004,0.002,0.2057,0.006,0.852,0.000102
143,37486592,1794.0,21827,57.11,88.0,60.11,36.5,61.2,2.4,0.0,-0.0003,0.002,0.2067,0.0055,0.855,0.000101
144,37748736,1806.3,21372,56.65,84.0,59.65,36.4,61.2,2.4,0.0,-0.0004,0.002,0.2051,0.0065,0.854,0.0001
145,38010880,1818.5,21459,58.5,83.0,61.5,36.4,61.2,2.4,0.0,-0.0004,0.002,0.2048,0.006,0.862,9.8e-05
146,38273024,1830.3,22179,58.34,84.0,61.34,36.4,61.2,2.4,0.0,-0.0004,0.002,0.2037,0.006,0.864,9.7e-05
147,38535168,1842.3,21933,58.36,88.0,61.36,36.3,61.2,2.5,0.0,-0.0003,0.002,0.2012,0.0058,0.863,9.6e-05
148,38797312,1854.2,21981,57.78,86.0,60.78,36.3,61.2,2.5,0.0,-0.0004,0.002,0.2009,0.0054,0.861,9.4e-05
149,39059456,1865.9,22449,59.15,84.0,62.15,36.2,61.2,2.5,0.0,-0.0003,0.002,0.1993,0.0072,0.865,9.3e-05
150,39321600,1877.9,21887,58.85,88.0,61.85,36.2,61.2,2.6,0.0,-0.0004,0.002,0.1998,0.0065,0.865,9.2e-05
151,39583744,1924.3,22647,57.07,81.0,60.07,36.1,61.3,2.6,0.0,-0.0004,0.002,0.1996,0.0061,0.855,8.6e-05
152,39845888,1936.5,21573,61.77,89.0,64.77,36.1,61.3,2.6,0.0,-0.0004,0.002,0.1998,0.0064,0.862,8.5e-05
153,40108032,1948.3,22196,58.96,89.0,61.96,36.1,61.3,2.7,0.0,-0.0003,0.002,0.2,0.005,0.858,8.4e-05
154,40370176,1959.9,22485,56.6,82.0,59.6,36.0,61.3,2.7,0.0,-0.0003,0.002,0.1988,0.0056,0.86,8.2e-05
155,40632320,1972.2,21453,57.58,85.0,60.58,36.0,61.3,2.7,0.0,-0.0003,0.002,0.1967,0.0045,0.861,8.1e-05
156,40894464,1984.8,20746,56.77,85.0,59.77,35.9,61.3,2.7,0.0,-0.0003,0.002,0.1947,0.0033,0.862,8e-05
157,41156608,1996.5,22405,56.55,87.0,59.55,35.9,61.3,2.8,0.0,-0.0003,0.002,0.1954,0.0067,0.86,7.8e-05
